,Id,SalePrice
0,782,10000
1,783,10000
2,784,10000
3,785,10000
4,786,10000
5,787,10000
6,788,10000
7,789,10000
8,790,10000
9,791,10000
10,792,10000
11,793,10000
12,794,10000
13,795,10000
14,796,10000
15,797,10000
16,798,10000
17,799,10000
18,800,10000
19,801,10000
20,802,10000
21,803,10000
22,804,10000
23,805,10000
24,806,10000
25,807,10000
26,808,10000
27,809,10000
28,810,10000
29,811,10000
30,812,10000
31,813,10000
32,814,10000
33,815,10000
34,816,10000
35,817,10000
36,818,10000
37,819,10000
38,820,10000
39,821,10000
40,822,10000
41,823,10000
42,824,10000
43,825,10000
44,826,10000
45,827,10000
46,828,10000
47,829,10000
48,830,10000
49,831,10000
50,832,10000
51,833,10000
52,834,10000
53,835,10000
54,836,10000
55,837,10000
56,838,10000
57,839,10000
58,840,10000
59,841,10000
60,842,10000
61,843,10000
62,844,10000
63,845,10000
64,846,10000
65,847,10000
66,848,10000
67,849,10000
68,850,10000
69,851,10000
70,852,10000
71,853,10000
72,854,10000
73,855,10000
74,856,10000
75,857,10000
76,858,10000
77,859,10000
78,860,10000
79,861,10000
80,862,10000
81,863,10000
82,864,10000
83,865,10000
84,866,10000
85,867,10000
86,868,10000
87,869,10000
88,870,10000
89,871,10000
90,872,10000
91,873,10000
92,874,10000
93,875,10000
94,876,10000
95,877,10000
96,878,10000
97,879,10000
98,880,10000
99,881,10000
100,882,10000
101,883,10000
102,884,10000
103,885,10000
104,886,10000
105,887,10000
106,888,10000
107,889,10000
108,890,10000
109,891,10000
110,892,10000
111,893,10000
112,894,10000
113,895,10000
114,896,10000
115,897,10000
116,898,10000
117,899,10000
118,900,10000
119,901,10000
120,902,10000
121,903,10000
122,904,10000
123,905,10000
124,906,10000
125,907,10000
126,908,10000
127,909,10000
128,910,10000
129,911,10000
130,912,10000
131,913,10000
132,914,10000
133,915,10000
134,916,10000
135,917,10000
136,918,10000
137,919,10000
138,920,10000
139,921,10000
140,922,10000
141,923,10000
142,924,10000
143,925,10000
144,926,10000
145,927,10000
146,928,10000
147,929,10000
148,930,10000
149,931,10000
150,932,10000
151,933,10000
152,934,10000
153,935,10000
154,936,10000
155,937,10000
156,938,10000
157,939,10000
158,940,10000
159,941,10000
160,942,10000
161,943,10000
162,944,10000
163,945,10000
164,946,10000
165,947,10000
166,948,10000
167,949,10000
168,950,10000
169,951,10000
170,952,10000
171,953,10000
172,954,10000
173,955,10000
174,956,10000
175,957,10000
176,958,10000
177,959,10000
178,960,10000
179,961,10000
180,962,10000
181,963,10000
182,964,10000
183,965,10000
184,966,10000
185,967,10000
186,968,10000
187,969,10000
188,970,10000
189,971,10000
190,972,10000
191,973,10000
192,974,10000
193,975,10000
194,976,10000
195,977,10000
